Temperature (C),Apparent Temperature (C),Wind Speed (km/h),Wind Bearing (degrees),Visibility (km),Cloud Cover,Pressure (millibars),Humidity
15.09444444,15.09444444,17.549,151,9.982,0,1013.96,0.61
17.35555556,17.35555556,22.7815,169,9.982,0,1013.85,0.52
19.00555556,19.00555556,23.8924,169,9.982,0,1013.04,0.46
20.04444444,20.04444444,28.3682,170,9.982,0,1012.22,0.4
21.05,21.05,26.9031,187,10.3523,0,1011.44,0.4
21.18333333,21.18333333,25.6956,179,9.982,0,1010.52,0.37
20.11666667,20.11666667,25.3092,162,9.982,0,1009.83,0.4
20.21666667,20.21666667,18.1125,161,10.3523,0,1009.26,0.36
20,20,23.4255,160,9.982,0,1008.76,0.43
17.8,17.8,20.0445,150,11.2056,0,1008.36,0.5
16.06111111,16.06111111,21.3969,149,9.982,0,1008.11,0.53
15.02222222,15.02222222,21.3808,159,9.982,0,1008.15,0.55
14.42222222,14.42222222,20.0123,159,15.8263,0,1007.85,0.58
14.25555556,14.25555556,16.5025,168,14.9569,0,1007.89,0.59
13.77222222,13.77222222,17.0982,160,15.8263,0,1007.36,0.6
13.28333333,13.28333333,14.3612,160,15.8263,0,1007.26,0.63
8.633333333,5.466666667,22.0409,32,6.6976,0,1005.1,0.87
11.25,11.25,11.3344,152,15.8263,0,1007.01,0.83
11.18333333,11.18333333,11.2056,180,9.9015,0,1006.73,0.89
10.69444444,10.69444444,10.4006,161,6.6976,0,1006.59,0.95
11.11111111,11.11111111,12.0106,140,5.9731,0,1006.34,0.93
11.11111111,11.11111111,9.2092,103,10.8031,0,1006.09,0.93
12.16666667,12.16666667,9.9015,113,10.6743,0,1005.97,0.82
12.75555556,12.75555556,13.8299,129,10.8192,0,1005.63,0.79
13.83888889,13.83888889,9.0965,159,10.8192,0,1005.83,0.84
16.18333333,16.18333333,0.644,207,10.7548,0,1005.97,0.73
17.51666667,17.51666667,0.6762,153,10.8997,0,1005.64,0.67
17.38333333,17.38333333,3.864,4,10.8514,0,1005.2,0.67
17.36111111,17.36111111,7.8246,341,11.0768,0,1005.1,0.71
17.20555556,17.20555556,15.5848,15,10.8514,0,1004.65,0.74
15.63333333,15.63333333,23.6992,348,10.8836,0,1004.04,0.81
13.57777778,13.57777778,20.9622,321,7.6153,0,1004.08,0.9
10.91111111,10.91111111,22.3951,311,2.6565,0,1004.61,0.86
8.8,5.294444444,26.5006,339,2.6565,0,1004.99,0.99
8.961111111,5.777777778,23.2162,340,3.8157,0,1004.85,0.93
8.2,4.605555556,25.4219,330,4.4919,0,1004.96,0.96
7.688888889,3.722222222,28.1267,339,4.4436,0,1005.14,0.96
7.766666667,4.65,19.2878,339,5.6833,0,1005.05,0.96
8.2,5.072222222,20.447,341,3.1073,0,1004.8,0.96
8.177777778,4.372222222,27.8691,19,3.2039,0,1004.89,0.93
7.311111111,6.183333333,6.7459,277,14.0553,0,1007,0.82
7.644444444,5.038888889,14.9086,9,6.118,0,1004.3,0.93
6.622222222,2.616666667,25.0355,0,6.118,0,1003.68,0.93
6.683333333,3.222222222,19.8352,350,6.1663,0,1003.86,0.93
6.088888889,1.65,28.0945,349,7.9695,0,1003.57,0.93
6.066666667,1.633333333,27.9818,348,6.3434,0,1003.96,0.93
6.144444444,1.494444444,30.8637,349,10.5455,0,1004.1,0.93
7.133333333,2.688888889,32.1678,349,11.2056,0,1004.26,0.8
7.205555556,3.233333333,26.5328,339,11.27,0,1004.18,0.86
7.566666667,3.544444444,28.336,339,10.5455,0,1004.23,0.84
8.9,5.161111111,29.8333,348,11.27,0,1004.47,0.77
9.961111111,6.644444444,28.4809,339,11.27,0,1004.52,0.71
9.888888889,6.55,28.5131,338,11.0768,0,1004.29,0.71
11.06666667,11.06666667,25.6956,320,11.27,0,1003.93,0.71
10.11666667,10.11666667,25.3414,311,11.27,0,1004,0.76
11.03888889,11.03888889,21.413,311,9.982,0,1004.3,0.66
10.65,10.65,17.8549,310,14.9086,0,1004,0.7
10.05,10.05,15.1984,328,9.982,0,1004.39,0.7
9.9,7.716666667,15.7297,348,11.0285,0,1005.48,0.66
8.794444444,6.816666667,12.3648,20,9.982,0,1005.89,0.71
7.827777778,5.405555556,13.8943,28,15.8263,0,1006.37,0.72
7.855555556,6.122222222,9.8049,11,15.0052,0,1006.56,0.72
7.316666667,6.211111111,6.6654,326,15.8746,0,1007.07,0.75
7.244444444,6.005555556,7.1162,309,15.8746,0,1007.37,0.75
5.438888889,5.438888889,3.7191,193,9.982,0,1012.23,0.88
7.2,4.55,14.4739,273,15.8263,0,1007.28,0.76
6.688888889,3.161111111,20.5275,300,15.8263,0,1007.18,0.7
6.211111111,2.694444444,19.3039,309,14.9569,0,1007.39,0.73
6.111111111,2.8,17.4363,300,9.982,0,1007.67,0.76
6.111111111,2.438888889,20.4148,300,9.982,0,1007.98,0.76
6.172222222,2.922222222,17.0499,307,9.982,0,1008.57,0.76
7.222222222,3.833333333,20.5114,319,9.982,0,1008.87,0.71
7.288888889,4.244444444,17.6456,328,9.982,0,1009.44,0.73
7.405555556,4.816666667,14.4095,318,9.982,0,1010.03,0.72
7.961111111,6.072222222,10.7548,321,10.0464,0,1010.22,0.7
8.033333333,7.583333333,4.8622,349,10.0464,0,1010.39,0.7
9.077777778,9.077777778,2.3828,348,10.0303,0,1010.24,0.65
9.05,9.05,0.322,243,9.982,0,1010,0.62
9.05,9.05,3.2522,177,11.2056,0,1009.98,0.65
9.183333333,9.183333333,3.0107,170,11.0285,0,1010.05,0.65
9.072222222,7.455555556,10.465,172,9.982,0,1010.1,0.7
7.983333333,6.811111111,7.3416,172,9.982,0,1010.39,0.75
8.072222222,6.433333333,9.5151,150,9.982,0,1010.91,0.75
7.894444444,6.127777778,9.9981,142,9.982,0,1011.32,0.82
7.311111111,4.805555556,13.685,141,11.9784,0,1011.61,0.83
7.338888889,5.183333333,11.5437,141,14.168,0,1011.97,0.84
6.622222222,4.111111111,12.719,142,14.9086,0,1012.22,0.85
6.066666667,3.411111111,12.8961,130,14.9086,0,1012.74,0.88
8.338888889,8.338888889,0.6923,359,15.0052,0,1015.35,0.88
5.183333333,4.111111111,5.5384,166,9.982,0,1013.29,0.91
3.722222222,2.566666667,5.2003,145,9.982,0,1013.39,0.94
4.855555556,3.705555556,5.6189,170,5.9248,0,1013.45,0.93
5.211111111,5.211111111,4.7656,178,1.2236,0,1013.4,0.92
6.255555556,4.638888889,7.9212,223,7.2128,0,1013.81,0.92
7.794444444,6.055555556,9.7566,240,10.6743,0,1014.7,0.87
10.05,10.05,9.6922,231,11.2056,0,1014.67,0.76
12.2,12.2,14.49,230,9.982,0,1014.66,0.66
12.7,12.7,20.3343,214,11.0285,0,1014.8,0.63
13.93333333,13.93333333,23.5865,222,11.27,0,1014.47,0.58
15.09444444,15.09444444,22.2985,241,11.27,0,1014.16,0.59
15.15,15.15,14.7154,235,11.4471,0,1014.07,0.5
16.17777778,16.17777778,14.49,238,11.27,0,1013.34,0.44
16.25,16.25,14.7154,211,11.27,0,1012.72,0.55
16.29444444,16.29444444,19.5937,221,11.4471,0,1012.38,0.5
16.1,16.1,14.8281,215,11.1251,0,1012.38,0.56
12.95555556,12.95555556,11.9784,224,11.27,0,1012.72,0.68
13.85,13.85,11.5598,231,11.4471,0,1013.42,0.64
12.77777778,12.77777778,14.2485,358,10.0464,0,1014.41,0.69
12.15,12.15,11.2539,8,15.8746,0,1014.89,0.72
10.67777778,10.67777778,5.7799,59,15.0052,0,1014.91,0.81
10.44444444,10.44444444,2.6404,63,15.8746,0,1014.75,0.83
9.822222222,9.466666667,5.313,65,15.8746,0,1015.55,0.8
11.02777778,11.02777778,11.3827,146,14.9569,0,1015.7,0.74
7.138888889,7.138888889,3.6547,305,14.9086,0,1016.43,0.93
7.622222222,5.644444444,10.8675,327,14.9086,0,1016.56,0.89
7.627777778,6.611111111,6.5205,319,13.3791,0,1017.15,0.86
7.044444444,4.855555556,11.3988,271,9.982,0,1017.37,0.86
8.6,7.038888889,9.66,297,9.982,0,1018.25,0.84
9.65,7.383333333,15.9551,289,9.982,0,1019.24,0.84
12.10555556,12.10555556,13.1698,310,9.982,0,1019.83,0.72
12.77777778,12.77777778,13.1698,301,11.2056,0,1020.51,0.71
13.81111111,13.81111111,9.6761,307,11.4471,0,1020.91,0.65
16.01666667,16.01666667,11.2378,307,11.27,0,1020.6,0.48
17.12777778,17.12777778,12.7029,308,11.27,0,1020.39,0.47
17.14444444,17.14444444,10.6099,279,11.4471,0,1020.34,0.43
17.77777778,17.77777778,7.9534,272,11.2056,0,1019.7,0.4
17.77777778,17.77777778,2.5921,351,11.2056,0,1018.89,0.37
17.80555556,17.80555556,11.0124,175,10.3523,0,1018.48,0.43
16.15555556,16.15555556,9.1931,172,9.982,0,1017.87,0.52
14.05,14.05,9.1609,160,9.982,0,1017.56,0.63
13.08888889,13.08888889,9.2736,138,9.982,0,1017.38,0.67
12.28888889,12.28888889,9.4507,141,9.982,0,1017.58,0.72
12.77777778,12.77777778,11.0768,141,15.8263,0,1017.65,0.66
12.72777778,12.72777778,13.3791,149,14.9569,0,1017.36,0.67
12.26666667,12.26666667,14.1358,151,15.8263,0,1016.8,0.69
11.71111111,11.71111111,11.3183,158,15.8263,0,1016.64,0.71
10.82777778,10.82777778,9.177,259,14.168,0,1013.13,0.86
12.2,12.2,14.168,141,15.8263,0,1014.79,0.59
12.2,12.2,14.2968,151,15.8263,0,1014.25,0.6
11.68888889,11.68888889,13.8299,152,14.9569,0,1013.95,0.68
11.20555556,11.20555556,14.007,132,9.982,0,1013.63,0.77
11.13333333,11.13333333,15.4882,150,9.982,0,1013.27,0.77
11.43888889,11.43888889,13.8782,163,10.3523,0,1013.56,0.77
13.03333333,13.03333333,14.4578,209,9.982,0,1012.85,0.81
17.24444444,17.24444444,25.0194,221,11.27,0,1012.15,0.62
17.73888889,17.73888889,27.37,230,11.4471,0,1011.71,0.53
17.84444444,17.84444444,22.218,251,11.27,0,1011.28,0.56
18.86111111,18.86111111,23.5382,250,11.27,0,1010.99,0.56
18.66666667,18.66666667,19.8996,240,11.3988,0,1010.93,0.56
17.82222222,17.82222222,17.5007,243,11.27,0,1010.7,0.56
17.8,17.8,17.6939,281,11.27,0,1010.52,0.59
17.35,17.35,19.5615,295,11.3988,0,1010.69,0.57
16.06666667,16.06666667,21.8155,280,11.2056,0,1010.86,0.67
14.93333333,14.93333333,17.2753,280,11.2056,0,1011.14,0.73
13.92222222,13.92222222,11.7691,279,11.2861,0,1011.64,0.78
12.75555556,12.75555556,11.0446,270,11.0768,0,1012.02,0.84
12.75555556,12.75555556,11.0607,277,15.6975,0,1012.21,0.84
12.37222222,12.37222222,7.2933,239,14.8764,0,1012.33,0.86
11.18333333,11.18333333,6.923,241,15.8263,0,1012.6,0.93
11.66666667,11.66666667,11.1734,242,15.8263,0,1012.8,0.9
8.977777778,7.366666667,10.3201,266,6.8425,0,1012.66,0.95
10.57777778,10.57777778,11.1734,278,14.9086,0,1012.32,0.93
10.53333333,10.53333333,14.007,269,14.9086,0,1012.33,0.89
10.58888889,10.58888889,7.2933,269,14.168,0,1012.55,0.87
9.983333333,9.283333333,6.7298,297,15.8263,0,1012.71,0.89
11.02222222,11.02222222,7.889,307,9.982,0,1013.01,0.86
13.53888889,13.53888889,11.8657,305,9.982,0,1013.23,0.75
13.88888889,13.88888889,20.0123,308,11.2056,0,1013.31,0.68
15,15,17.5812,300,11.2056,0,1013.4,0.67
17.18333333,17.18333333,15.9551,319,11.4471,0,1013.27,0.57
16.2,16.2,16.3093,309,11.27,0,1013.02,0.62
17.75,17.75,17.7744,290,11.2056,0,1013.03,0.56
18.40555556,18.40555556,19.0785,297,15.3594,0,1012.55,0.54
17.82222222,17.82222222,17.5973,319,11.27,0,1012.03,0.59
17.31111111,17.31111111,20.3343,310,11.27,0,1011.81,0.57
17.50555556,17.50555556,13.7172,316,11.4471,0,1011.33,0.55
17.26666667,17.26666667,14.3773,309,9.982,0,1011.2,0.54
15.13888889,15.13888889,10.8997,310,9.982,0,1011.5,0.61
13.25,13.25,4.7173,325,9.982,0,1011.76,0.69
12.29444444,12.29444444,4.669,282,9.982,0,1012.01,0.72
10.7,10.7,3.5742,281,15.8263,0,1012.31,0.79
9.855555556,9.388888889,5.7477,274,14.9569,0,1012.51,0.85
9.522222222,7.861111111,11.27,280,11.9784,0,1012.52,0.88
8.405555556,8.405555556,3.1234,255,11.9784,0,1012.61,0.92
13.01111111,13.01111111,9.6278,46,14.9569,0,1011.27,0.82
7.733333333,7.733333333,3.4293,277,4.2987,0,1012.54,0.96
6.138888889,6.138888889,3.3488,284,4.1216,0,1012.44,0.96
6.472222222,6.472222222,2.9946,283,4.7656,0,1012.62,0.95
6.627777778,6.627777778,3.3005,313,2.9302,0,1012.75,0.96
8.688888889,8.688888889,1.4329,290,5.8443,0,1012.96,0.93
11.99444444,11.99444444,2.415,345,9.6117,0,1013.38,0.81
13.76666667,13.76666667,4.1538,16,9.6761,0,1013.14,0.78
15.08888889,15.08888889,7.3738,332,9.9015,0,1013.33,0.77
16.45555556,16.45555556,7.8085,350,11.0768,0,1013.56,0.68
17.31111111,17.31111111,7.3738,330,11.27,0,1013.61,0.62
17.87222222,17.87222222,8.372,12,11.27,0,1013.11,0.64
19.03888889,19.03888889,7.0679,39,11.4471,0,1012.69,0.47
18.97777778,18.97777778,10.8675,3,11.27,0,1012.2,0.51
19.00555556,19.00555556,4.8139,9,11.2056,0,1011.7,0.55
19.01111111,19.01111111,4.7978,33,11.3988,0,1011.4,0.53
17.86666667,17.86666667,10.9319,24,11.2056,0,1011.32,0.64
17.26666667,17.26666667,10.8514,33,9.982,0,1011.23,0.62
16.18888889,16.18888889,5.0876,25,10.3523,0,1011.5,0.61
14.88333333,14.88333333,9.177,32,9.982,0,1012.05,0.72
14.32777778,14.32777778,10.9319,31,15.8263,0,1012.15,0.75
14.51111111,14.51111111,6.3756,47,14.9569,0,1012.09,0.75
14.37222222,14.37222222,6.5366,67,15.8263,0,1011.83,0.75
14.87777778,14.87777778,14.2163,60,15.8263,0,1011.45,0.72
10.40555556,10.40555556,3.6064,144,2.0125,0,1012.05,0.92
12.82222222,12.82222222,8.4364,57,11.2056,0,1011.18,0.83
12.8,12.8,14.4256,31,14.9086,0,1010.07,0.85
12.82777778,12.82777778,13.8943,12,14.168,0,1009.83,0.86
12.26666667,12.26666667,15.778,12,11.2056,0,1009.8,0.85
12.26666667,12.26666667,15.5848,2,11.27,0,1009.99,0.85
12.18333333,12.18333333,12.3809,11,11.0768,0,1010.21,0.82
12.17222222,12.17222222,20.3826,11,11.27,0,1010.41,0.8
12.71111111,12.71111111,22.0892,19,11.27,0,1010.33,0.83
15.60555556,15.60555556,22.3468,18,10.3523,0,1010.43,0.78
16.02222222,16.02222222,18.0642,20,11.2056,0,1010.29,0.78
17.2,17.2,17.6456,48,11.2056,0,1010.1,0.67
17.21666667,17.21666667,14.0875,46,11.0285,0,1009.96,0.71
17.82777778,17.82777778,13.4113,29,11.2056,0,1009.86,0.69
17.82777778,17.82777778,14.6188,19,11.2056,0,1009.47,0.69
17.73333333,17.73333333,9.2414,340,11.0285,0,1009.63,0.69
16.27222222,16.27222222,23.0713,39,11.2056,0,1009.39,0.71
13.16666667,13.16666667,3.7674,335,5.2164,0,1011.07,0.93
13.25555556,13.25555556,3.1395,228,8.05,0,1011.23,0.93
13.01111111,13.01111111,10.3362,274,9.982,0,1011.35,0.93
12.45555556,12.45555556,5.796,310,14.9086,0,1011.67,0.91
12.48888889,12.48888889,9.8854,315,14.5866,0,1011.76,0.9
9.555555556,8.85,6.4883,146,15.8263,0,1015.68,0.8
10.62222222,10.62222222,14.0231,160,15.8263,0,1015.41,0.79
8.722222222,8.722222222,4.5724,40,11.3988,0,1014.98,0.93
10.53333333,10.53333333,10.7709,143,15.8263,0,1015.18,0.77
9.444444444,8.705555556,6.5366,133,15.8263,0,1014.7,0.83
9.888888889,9.327777778,6.0858,163,14.9569,0,1014.64,0.83
10.36666667,10.36666667,10.7065,136,15.8263,0,1014.31,0.78
8.888888889,7.233333333,10.4972,158,11.2056,0,1014.63,0.89
9.977777778,8.994444444,8.0017,151,11.0285,0,1014.82,0.84
12.2,12.2,2.4633,355,9.982,0,1014.82,0.73
13.96111111,13.96111111,9.3058,123,9.982,0,1015,0.67
14.94444444,14.94444444,7.1645,132,10.3523,0,1014.9,0.67
16.18333333,16.18333333,11.753,199,9.982,0,1014.35,0.71
16.36666667,16.36666667,7.1323,227,11.27,0,1014.51,0.61
17.37222222,17.37222222,3.6225,251,11.4471,0,1014.32,0.57
17.67222222,17.67222222,1.7549,156,11.27,0,1013.93,0.51
17.72222222,17.72222222,8.6779,113,11.27,0,1013.45,0.53
16.23888889,16.23888889,2.8336,261,11.3988,0,1013.43,0.61
14.06666667,14.06666667,9.2414,357,11.2056,0,1013.58,0.71
13.95555556,13.95555556,7.4221,147,11.2056,0,1013.24,0.76
12.28888889,12.28888889,3.542,161,11.0285,0,1013.7,0.8
10.02222222,10.02222222,3.1073,149,9.9015,0,1014.14,0.86
9.377777778,8.65,6.44,190,15.6009,0,1014.34,0.86
9.416666667,9.416666667,4.6046,138,14.7154,0,1014.6,0.9
11.82777778,11.82777778,3.0268,311,15.8263,0,1011.68,0.92
10.76111111,10.76111111,5.1681,178,0.6118,0,1011.98,0.91
12.15555556,12.15555556,2.8497,298,3.6386,0,1015.64,0.95
9.672222222,9.188888889,5.7155,123,0.6118,0,1012.26,0.94
8.15,7.15,6.762,10,0.6118,0,1012.63,0.94
10.2,10.2,5.6189,133,1.1109,0,1012.62,0.95
10.11666667,10.11666667,2.254,127,0.5152,0,1012.85,0.99
10.16111111,10.16111111,0.3381,81,0.4347,0,1013.61,0.99
11.24444444,11.24444444,2.7531,358,0.6923,0,1013.9,0.98
12.24444444,12.24444444,2.254,152,2.2057,0,1014.31,0.99
13.91111111,13.91111111,8.0983,135,4.2021,0,1014.43,0.92
15.61666667,15.61666667,2.2862,153,6.3112,0,1014.73,0.82
15.07222222,15.07222222,3.2844,120,6.3434,0,1014.92,0.86
15.07222222,15.07222222,7.5992,162,8.1949,0,1014.73,0.82
14.26666667,14.26666667,10.5616,134,6.8908,0,1014.92,0.87
16.01666667,16.01666667,6.6654,115,7.2772,0,1014.76,0.81
15.02777778,15.02777778,7.7119,139,7.2772,0,1014.37,0.86
13.94444444,13.94444444,7.2772,152,6.3112,0,1014.83,0.89
12.91666667,12.91666667,11.4793,310,4.7495,0,1015.11,0.95
12.89444444,12.89444444,5.2808,347,5.2164,0,1015.14,0.95
12.4,12.4,2.3506,72,5.8282,0,1015.5,0.98
12.26666667,12.26666667,8.05,320,6.1985,0,1015.76,0.99
12.22222222,12.22222222,6.1985,349,6.1985,0,1016.35,0.96
11.25,11.25,2.7692,335,3.8318,0,1016.38,0.96
11.52777778,11.52777778,3.1556,358,4.508,0,1016.43,0.96
11.53888889,11.53888889,5.9892,301,3.1234,0,1016.56,0.96
9.438888889,8.85,5.9731,326,1.8032,0,1017.23,0.96
11.43888889,11.43888889,6.279,340,3.8801,0,1016.17,0.96
11.39444444,11.39444444,6.44,350,3.864,0,1016.25,0.96
11.52777778,11.52777778,6.4239,332,3.2522,0,1016.13,0.96
11.95,11.95,4.83,340,0.644,0,1016.17,0.93
11.97222222,11.97222222,9.66,10,1.2558,0,1016.45,1
12.63333333,12.63333333,7.6636,7,2.3506,0,1016.94,0.96
12.75555556,12.75555556,7.9695,1,4.025,0,1017.06,0.96
13.84444444,13.84444444,7.9212,30,4.4919,0,1017.45,0.9
13.17222222,13.17222222,10.3845,8,6.2629,0,1017.77,0.94
15.06666667,15.06666667,8.1466,345,6.1985,0,1017.73,0.86
17.24444444,17.24444444,7.1645,308,11.27,0,1017.53,0.75
16.31666667,16.31666667,13.3469,352,11.0285,0,1017.31,0.76
17.38333333,17.38333333,13.6206,353,11.27,0,1016.82,0.74
15.27222222,15.27222222,8.2754,85,11.27,0,1016.6,0.76
17.45555556,17.45555556,5.2808,49,11.0768,0,1016.39,0.72
16.22222222,16.22222222,11.1573,21,11.27,0,1016.33,0.77
15.08333333,15.08333333,3.6869,23,11.27,0,1016.52,0.82
13.99444444,13.99444444,1.1431,35,9.6278,0,1016.81,0.88
12.17222222,12.17222222,0.6601,30,8.1305,0,1017.34,0.92
11.08888889,11.08888889,4.8461,56,1.0626,0,1017.54,0.95
11.09444444,11.09444444,3.381,11,1.7871,0,1017.43,0.95
9.883333333,9.883333333,3.3649,349,1.0626,0,1017.65,0.96
9.355555556,8.633333333,6.4239,321,3.3649,0,1017.56,0.96
9.861111111,9.861111111,3.2361,319,4.4597,0,1016.16,0.96
8.272222222,8.272222222,3.3166,313,1.9159,0,1017.16,0.99
8.866666667,8.866666667,2.6243,337,1.7549,0,1017.15,0.96
8.816666667,8.816666667,3.9445,335,2.3667,0,1017.28,0.96
7.155555556,7.155555556,1.8515,319,0.2898,0,1017.15,1
8.85,8.85,3.4776,295,1.7549,0,1017.36,0.99
11.17777778,11.17777778,2.8819,285,2.5599,0,1017.7,0.93
12.38888889,12.38888889,3.4293,349,6.2951,0,1017.72,0.98
14.14444444,14.14444444,4.8783,339,9.982,0,1017.82,0.88
17.1,17.1,3.059,308,11.0768,0,1017.77,0.72
18.93888889,18.93888889,4.2021,306,11.27,0,1017.3,0.64
17.91666667,17.91666667,4.0894,6,11.27,0,1016.9,0.68
19.98333333,19.98333333,1.2236,72,11.1412,0,1016.4,0.53
20.07222222,20.07222222,9.0643,352,11.27,0,1015.9,0.62
20.07222222,20.07222222,9.4829,2,11.27,0,1015.29,0.56
20.08333333,20.08333333,7.4865,15,11.3988,0,1014.9,0.58
19.08888889,19.08888889,9.1287,23,11.2056,0,1014.68,0.63
17.45,17.45,7.567,24,11.2056,0,1014.78,0.62
15.56666667,15.56666667,0.5152,116,9.982,0,1015.04,0.74
12.49444444,12.49444444,3.9445,197,9.982,0,1015.51,0.91
12.24444444,12.24444444,1.5295,140,15.8263,0,1015.72,0.89
11.41666667,11.41666667,2.9624,275,14.9569,0,1015.79,0.92
10.55555556,10.55555556,6.0375,290,14.812,0,1015.83,0.95
10.46666667,10.46666667,3.0751,270,9.8049,0,1015.95,0.93
10.25,10.25,5.2969,278,4.7495,0,1017.13,0.95
9.355555556,9.355555556,1.5295,100,4.025,0,1015.82,0.96
8.311111111,8.311111111,3.22,300,2.0286,0,1015.82,0.96
8.811111111,8.811111111,3.3971,333,1.7388,0,1015.89,0.96
8.733333333,7.933333333,6.3434,304,0.7889,0,1015.83,0.93
11.93333333,11.93333333,11.27,140,9.8049,0,1016.12,0.93
14.51666667,14.51666667,1.7066,129,9.5473,0,1016.23,0.84
18.73333333,18.73333333,3.22,300,9.982,0,1016.23,0.68
20.02777778,20.02777778,7.245,160,9.982,0,1016.38,0.6
21.03888889,21.03888889,6.4883,209,10.0303,0,1016.66,0.55
20.73888889,20.73888889,6.5044,179,15.8746,0,1016.58,0.46
22.31666667,22.31666667,7.5348,235,11.27,0,1016.27,0.48
22.11111111,22.11111111,6.4561,145,11.4471,0,1015.96,0.5
22.73333333,22.73333333,1.0143,262,10.0464,0,1015.34,0.38
22.77777778,22.77777778,5.1842,90,10.0464,0,1014.7,0.37
21.21666667,21.21666667,7.2772,58,11.4471,0,1015.2,0.41
20.18333333,20.18333333,1.4812,179,10.0464,0,1014.87,0.45
18.01111111,18.01111111,0.322,157,9.982,0,1014.78,0.68
17.42222222,17.42222222,0.5313,139,9.982,0,1015.54,0.65
13.96111111,13.96111111,0,0,9.982,0,1016.01,0.82
13.28888889,13.28888889,2.8819,329,15.8263,0,1016.52,0.89
12.32222222,12.32222222,2.4794,262,9.982,0,1016.96,0.89
11.11666667,11.11666667,3.1717,268,6.2951,0,1017.04,0.95
10.53333333,10.53333333,11.27,280,6.2951,0,1017.33,0.95
12.38333333,12.38333333,4.6207,172,14.168,0,1019.59,0.8
9.861111111,9.861111111,3.0751,273,3.8318,0,1017.25,0.96
8.872222222,8.872222222,1.5295,320,3.3649,0,1017.42,0.95
8.672222222,8.672222222,3.6386,317,4.2826,0,1017.74,0.94
7.688888889,7.688888889,0,0,0.7406,0,1018.13,1
10.91111111,10.91111111,1.61,210,4.1216,0,1018.62,0.99
14.83888889,14.83888889,2.6565,193,8.3398,0,1019.08,0.82
18.8,18.8,1.5295,140,9.982,0,1019.11,0.65
21.09444444,21.09444444,4.8783,199,9.982,0,1019.5,0.49
22.02777778,22.02777778,4.2826,226,11.0285,0,1019.86,0.49
22.82777778,22.82777778,3.6225,188,11.2056,0,1019.79,0.47
22.91666667,22.91666667,4.5563,292,9.982,0,1019.47,0.37
23.91666667,23.91666667,6.2951,154,10.3523,0,1019.25,0.37
23.91111111,23.91111111,2.5599,333,9.982,0,1018.89,0.4
23.93333333,23.93333333,4.347,178,9.982,0,1018.6,0.37
23.91666667,23.91666667,1.1753,205,10.3523,0,1018.67,0.32
22.82222222,22.82222222,3.1234,214,9.982,0,1018.59,0.44
21.22777778,21.22777778,0.4025,181,9.982,0,1018.67,0.48
19.07777778,19.07777778,2.6887,185,9.982,0,1019.22,0.51
17.06111111,17.06111111,1.5778,228,9.982,0,1019.88,0.63
14.90555556,14.90555556,3.7513,136,15.8263,0,1019.91,0.72
13.08333333,13.08333333,3.4132,185,14.9569,0,1020.02,0.87
